,song,artist,genre,artists(shazam),songwriters,producers
1,Beautiful Things,Benson Boone,Pop,['Benson Boone'],"['Evan Blair', 'Benson Boone', 'Jackson Lafrantz Larsen']","['Evan Blair', 'Randy Merrill', 'Alex Ghenea']"
2,Lose Control,Teddy Swims,Pop,['Teddy Swims'],"['Mikky Ekko', 'Teddy Swims', 'Julian Bunetta', 'Marco INFAMOUS Rodriguez', 'Joshua Coleman']",
3,Espresso,Sabrina Carpenter,Pop,['Sabrina Carpenter'],"['Steph Jones', 'Julian Bunetta', 'Amy Allen', 'Sabrina Carpenter']",
4,Cruel Summer,Taylor Swift,Pop,"['Taylor Swift', 'Jack Antonoff', 'Annie Clark', 'Michael Riddleberger']","['Annie Clark', 'Taylor Swift', 'Jack Antonoff']","['Taylor Swift', 'Jack Antonoff', 'Laura Sisk', 'John Rooney', 'Jon Sher', 'Serban Ghenea', 'John Hanes', 'Randy Merrill']"
5,Greedy,Tate McRae,Pop,['Tate McRae'],"['Tate McRae', 'Amy Allen', 'Jasper Harris', 'Ryan Tedder']","['Ryan Tedder', 'Jasper Harris', 'Manny Marroquin', 'Chris Galland', 'Robin Florent', 'Jeremie Inhaber', 'Dave Kutch', 'Grant Boutin', 'Rich & Rich']"
6,A Bar Song (Tipsy),Shaboozey,Country,"['Shaboozey', 'Lily Honigberg']","['Nevin Sastry', 'Mark Allen Williams', 'Sean Cook', 'Joe Kent', 'Jerell Jones', 'Collins Obinna Chibueze']","['Sean Cook', 'Colin Leonard', 'Raul Lopez', 'Nevin Sastry', 'Skyler Gibbons']"
7,Birds Of A Feather,Billie Eilish,Alternative,['Billie Eilish'],"['Billie Eilish', 'Finneas']",
8,Too Sweet,Hozier,Pop,['Hozier'],"['Hozier', 'Peter Gonzales', 'Sergiu Gherman', 'Daniel Krieger', 'Tyler Mehlenbacher', 'Stuart Johnson', 'Daniel Tannenbaum']",
9,Gata Only,FloyyMenor & Cris MJ,Latino,"['Cris MJ', 'FloyyMenor']","['Cristopher Alvarez', 'FloyyMenor']",['Bigcvyu']
10,Stick Season,Noah Kahan,Alternative,['Noah Kahan'],['Noah Kahan'],
11,Not Like Us,Kendrick Lamar,Hip-Hop/Rap,['Kendrick Lamar'],"['Dijon McFarlane', 'Ray Charles', 'Kendrick Lamar', 'Mark Spears', 'Sean Momberger']",
12,I Remember Everything,Zach Bryan,Country,['Zach Bryan'],"['Zach Bryan', 'Kacey Musgraves']",
13,Million Dollar Baby,Tommy Richman,Hip-Hop/Rap,['Tommy Richman'],['Tommy Richman'],
14,I Had Some Help,Post Malone,Country,['Post Malone'],['Morgan Wallen'],
15,Seven,Jung Kook & Latto,K-Pop,"['Jung Kook', 'Latto', 'Andrew Watt', 'Jon Bellion', 'Theron Thomas', 'Cirkut']","['Henry Russell Walter', 'Andrew Wotman', 'Alyssa Michelle Stephens', 'Theron Thomas', 'Jon Bellion']","['Andrew Watt', 'Serban Ghenea', 'Bryce Bordone', 'Mike Bozzi', 'Ben Hogarth', 'Cirkut', 'Marco Sonzini', 'Paul Lamalfa']"
16,Flowers,Miley Cyrus,Pop,['Miley Cyrus'],"['Gregory Aldae Hein', 'Michael Pollack', 'Miley Cyrus']",
17,Please Please Please,Sabrina Carpenter,Dance,"['Dust~', 'Sabrina Carpenter']",[''],
18,Water,Tyla,Pop,['Tyla'],"['Rayan El-Hussein Goufar', 'Olmo Zucca', 'Tricky Stewart', 'Imani Lewis', 'Tyla Seethal', 'Samuel Awuku', 'Ariowa Irosogie', 'Corey Marlon Lindsay-Keay', 'Jackson Paul LoMastro']",
19,One Of The Girls,"Lily Rose Depp, The Weeknd & JENNIE",Soundtrack,"['ÃÃ¨Ã«Ã¨-ÃÃ®Ã§ ÃÃ¥Ã¯Ã¯', 'The Weeknd', 'JENNIE']","['Ã\x8bÃ¨Ã«Ã¨-Ã\x90Ã®Ã§ Ã\x84Ã¥Ã¯Ã¯', 'The Weeknd', 'Sam Levinson', 'MIKE DEAN']",
20,Lovin On Me,Jack Harlow,Hip-Hop/Rap,['Jack Harlow'],"['Delbert M Greer', 'Nik Frascona', 'Reginald Nelton', 'Ozan Yildirim', 'Jack Harlow', 'Sean Momberger', 'Nickie Jon Pabon']",
21,I Like The Way You Kiss Me,Artemas,Trance,"['Artemas', 'Tiesto']","['Jesse Fink', 'Toby Daintree', 'Kevin White', 'Artemas Diamandis']",
22,We Can't Be Friends (Wait For Your Love),Ariana Grande,Pop,['Ariana Grande'],"['Ariana Grande', 'ILYA', 'Max Martin']",
23,Save Your Tears,Ariana Grande,Pop,,"['Ahmad Balshe', 'Jason Daheala Quenneville', 'The Weeknd', 'Oscar Holter', 'Karl Martin Sandberg']",
24,Die For You,The Weeknd,R&B/Soul,"['The Weeknd', 'Dylan Wiggins', 'Simon Christenson']","['Martin McKinney', 'Henry Russell Walter', 'Mejdi Rhars', 'The Weeknd', 'Magnus August Hoiberg', 'Billy Walsh', 'Dylan Wiggins']","['The Weeknd', 'Cashmere Cat', 'Prince85', 'Martin McKinney', 'Josh Smith', 'Serban Ghenea', 'John Hanes', 'Cirkut']"
25,Snooze,SZA,R&B/Soul,['SZA'],"['Kenny B. Edmonds', 'SZA', 'Leon Thomas', 'Blair Ferguson', 'Khris Riddick-Tynes']",
26,Fortnight,Taylor Swift,Pop,['Taylor Swift'],"['Taylor Swift', 'Post Malone', 'Jack Antonoff']",
27,Paint The Town Red,Doja Cat,Rap,['Doja Cat'],"['Jean Baptiste Kouame', 'Hal David', 'Doja Cat', 'Ryan Buendia', 'Isaac Earl Bynum', 'Karl Rubin Brutus', 'Burt Bacharach']",
28,End Of Beginning,BbyGirl,Pop,,['d.j.o'],
29,As It Was,Aime Simone,Pop,['Aime Simone'],"['Tyler Johnson', 'Harry Styles', 'Thomas Edward Percy Hull']",
